ID,Work Item Type,Title,State,Description
"8882","Requirement","GA-RQ-6.5","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div>The system must provide the ability to allow for search using 'begins with,' 'contains' or other search logic such as wildcards</div>"
"8883","Requirement","GA-RQ-6.4","New","<div style=""box-sizing:border-box;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div>The system must provide the ability to search for Lobbyist Reports by Year, Lobbyist Name, by Group, by Expenditures and Lobbyist Roster."
"8884","Requirement","GA-RQ-4.17","New","4. Lobbyist Reporting<br><br>Termination of Groups Section (how to access?)"
"8885","Requirement","GA-RQ-4.16","New","The system must have the ability to capture the following information for each expenditure made as a Lobbyist:<br>•	Group the Lobbyist is lobbying on behalf of<br><div>•	Category for Expenditures (Meals, Lodging, Tickets, Travel, Educational Event, Other)<br></div><div>•	Type of Recipient (Public Officer, Group)&nbsp; <b>(dropdown of recipient type)</b><br></div><div>•	Public Officer Name or Title <b>(type ahead search with an other option)&nbsp; (title separate from the type ahead search)</b><br></div><div>•	Group Name <b>(dropdown / w OTHER)</b><br></div><div><span style=""display:inline !important;"">• Multiple Recipient (I took out a group for lunch, who showed up) <b>(free format text)</b></span><br></div>•	Date of Expenditure<br>•	Description of Expenditure<br><div>•	Number of Bill, Resolution or Regulation <b>(free format text)</b><br></div><div><br></div><div>•	The effective date of clients that are registered for a specific time period <b>(this is displayed on the Filer Workspace not on the transaction filing screen)</b><br></div><div>•	Other (need to specify}&nbsp; <b>(add a box to the filing screen for additional information)</b></div>"
"8886","Requirement","GA-RQ-4.15","New","4. Lobbyist Reporting<br><br>The system must have the ability for the Lobbyist to specify each expenditure made as a Lobbyist."
"8887","Requirement","GA-RQ-4.14","New","4. Lobbyist Reporting <br><br>The system must have the ability for the Lobbyist to report the Affirmation of Lobbying Activity for any individual or entity for which the Lobbyist undertook to influence the rule or regulation of a state agency."
"8888","Requirement","GA-RQ-4.13","New","4. Lobbyist Registration and Renewals <br><br>The system must provide the ability for the Lobbyist to add, update, and renew the Groups that they represent"
"8889","Requirement","GA-RQ-4.12","New","4. Lobbyist Registration and Renewals <br><br><div>The system must provide the option for the Lobbyist to pick up their badge in person or have it mailed to them</div><div><br></div><div>-- this is all manual in the current system.</div><div>-- during registration, they can specify if they want to pick up or mail their badge</div><div>-- will need a report that lets the Commission know what badges are picked up and which ones should be mailed&nbsp; (needs to be a field on the ad hoc data view so they can do an ad hoc report)</div><div>-need an easy way to know if the lobbyist has paid for the badges (not individual checking - must show for a group of lobbyists)&nbsp; (Card Exchange Professional = badge printing software)</div>"
"8890","Requirement","GA-RQ-4.10","New","4. Lobbyist Registration and Renewals <br><div>The system must have the ability for a Lobbyist to request a new badge</div><div><br></div><div>---Log the payment in one system</div><div>--print the badge from another process</div><div>- $20 for first badge (badge and one client)</div><div>-$10 for each additional client</div><div>-- $20 for each extra badge&nbsp; (can be requested at the time of registration or later)</div><div><br></div><div>name for badge</div><div>if only one client, it will list the name of the client</div><div>&quot;Lobbying for Multiple Clients&quot; (listed on badge)</div>"
"8891","Requirement","GA-RQ-4.9","New","4. Lobbyist Registration and Renewals<br><br>The system must have the ability for a Lobbyist to renew their registration with the Commission on an annual basis"
"8892","Requirement","GA-RQ-4.7","New","4. Lobbyist Registration and Renewals<br><br>The system must provide the ability to for the organization that has hired the Lobbyist to authorize the Lobbyist to lobby on their behalf. The system must capture the following authoritative information:<br>•	Organization<br>•	Person Authorizing the Lobbyist and Title<br>•	Signature of Person Authorizing the Lobbyist and Title"
"8904","Requirement","GA-RQ-4.8","New","4. Lobbyist Registration and Renewals<br><br>The system must be able to accept and process online payment for their badge and supplemental fees for the registration of each Group that they will be representing."
"8906","Requirement","GA-RQ-7.1","New","<div>7.0 Fees, Payment, and Financial Reporting</div><div><br></div><div>The system must have the ability to configure filing schedules with the associated late fees and penalties by User Type for State and Local Filers.</div>"
"8907","Requirement","GA-RQ-1.13","New","<div>General System Requirements</div><div><br></div><div>The system must have the ability to configure filing schedules with the associated late fees and penalties by User Type.</div>"
"8908","Requirement","GA-RQ-3.5","New","3. Financial Disclosure<br><br>State and Local Level Filing Requirements<br><br>Public Official Information<br>•	The system must have the ability to capture and updates the following Public Official profile information:<br>•	The system must capture the following information for Public Officials: Filer ID, Filer Name, Mailing Address, City, State, Zip, Telephone 1 and Telephone 2<br>•	The system must have the ability to capture the following information for Public Officials based on their position: Office Level, Office Name, District, Non-numeric District, At large<br>•	{y/n}, Post, Non-numeric Post, Ward, Non-numeric Ward, Circuit, Division, County, City, Term Length, Start Date, End Date.<br>•	The system must have the ability to allow users to select values for Office Levels and Office Names based on prepopulated lists or dropdown boxes.<br>•	The system must have the ability to dynamically display Office Names based on Office Levels Selected by a user.<br>•	The system must have the ability to dynamically capture Public Official demographic data based on Office Level and Office Name based on the table in Appendix B.<br>•	The system must provide the ability for the Filer to complete the Affidavit of Public Official online."
"8909","Requirement","GA-RQ-3.4","New","3. Financial Disclosure<br><br>State and Local Level Filing Requirements<br><br><div>For Local Public Officials, the System must have the ability for Local Level Filing Offices that receive Personal Financial Disclosure Statements from Local Public Officials the ability to submit the reports via standardized files that will be loaded into the system to create an official record for the Local Level Filer.<br></div><div><br></div><div>The following City/Municipal Candidates must file Personal Financial Disclosure Statements with the GGTCFC via their Local: Aldermen, Clerk of Municipal Court, Councilman, Judge of Municipal Court, Marshall of Municipal Court or Mayor, Other Elected Municipal Offices.<br></div><div><br></div>The following County Positions: Board of Elections, Chief Executive Officer, Chief Magistrate Judge, Clerks of Superior Court, Coroners, County Commissioner Chair, County Commissioner, Court Tax Collector, Fire Board Authority, Judge of Civil Court, Judge of Probate Court, Judge of Recorders Court {Chatham Court}, Juvenile Court Judge, Magistrate Court Judge, Marshal, School Board Chair, School Board Member. Sheriff, Soil &amp; Water, Solicitor General, State Court Judge, County Surveyor, Tax Assessor, Tax Commissioner, Tax Receiver, Water Board Authority, or Other Elected County Office"
"8910","Requirement","GA-RQ-3.3","New","<div><div style=""box-sizing:border-box;"">3. Financial Disclosure</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;"">State and Local Level Filing Requirements</div><div style=""box-sizing:border-box;""><br></div>3.3. For the Executive Director and members of state Boards, Commissions or Authorities, the System must provide the ability to electronically file an annual Affidavit confirming that such individuals have taken no official action which had a material effect on such public officer’s private financial or business interests in the previous calendar year. This affidavit must be filed on or before January 31 of each year.<br></div>"
"8911","Requirement","GA-RQ-3.2","New","<div><div style=""box-sizing:border-box;"">3. Financial Disclosure</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;"">State and Local Level Filing Requirements</div><div style=""box-sizing:border-box;""><br></div><span>3.2. For State Public Officials, the System must have the ability for State Level Public Officials to file the Personal Financial Disclosure Statements to GGTCFC electronically.<br><ul><li><span>The following State-Level Candidates must file Personal Financial Disclosure Statements with the GGTCFC: Governor, Lieutenant Governor, Secretary of State, Attorney General, State School Superintendent, Commissioner of Insurance, Commissioner of Agriculture, Commissioner of Labor, Public Service Commission, Georgia Supreme Court and Court of Appeals, Members of the Georgia House of Representatives and Georgia State Senate.</span></li></ul></span></div>"
"8912","Requirement","GA-RQ-3.1","New","<div>3. Financial Disclosure</div><div><br></div><div>State and Local Level Filing Requirements</div><div><br></div><div>3.1. The system must have the ability to support different the different process for State and Local Level Personal Financial Disclosure Statements.<br></div>"
"8913","Requirement","GA-RQ-2.15","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Two-Business Day Report (TBD)</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">2.15. The system must have the ability to submit a FR&amp;TS statement with the campaign’s final CCDR. The FR&amp;TS is filed by all campaigns on December 31 after their general election or within 10 days of the dissolution of the campaign if the candidate fails to qualify for office. The Statement must identify the termination date as well as the person responsible for maintaining campaign records as required by the Act. In order to qualify to file an FR&amp;TS, the filer must have a zero-net balance, zero debt, and not be seeking or holding the office. Candidates for any state or state-wide office must file electronically with the Commission and candidates for county, and municipal offices file with their local filing officer.<br></span></div><br></div>"
"8914","Requirement","GA-RQ-2.14.2","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Two-Business Day Report (TBD)</span></div><span>2.14.2. Contributions Received Section<br></span><div><ul><li> The system must have the ability to capture the Contribution Type [Monetary, In-Kind, Loan], Type of Contributor [Individual, Corporation/PAC], First Name (Individual), Last Name (Individual), Corporation/PAC Name (Corporation/PAC), Address, City, State, Zip, PAC Affiliation, (Corporation/PAC), Occupation (Individual), Employer (Individual), Date Received, Election [drop-down], Cash Amount</li><li> The system must have the ability to capture In-Kind Estimated Value and In-Kind Description when the Contribution Type is In-Kind</li><li><span> The system must be able to accept the following attestation “I hereby swear or affirm that I have examined this report, and say that information in this report is complete, true, and correct.” And electronically submit the report.</span></li></ul></div></div>"
"8915","Requirement","GA-RQ-2.14.1","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Two-Business Day Report (TBD)</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span>2.14.1. Cover Page<br></span><div><ul><li><span style=""box-sizing:border-box;""><div>The system must have the ability to display the following information: Filer ID, Committee, Candidate, Address, Telephone Number(s) (with area code), Name of the office sought or held.</div></span></li><li><span style=""box-sizing:border-box;""><div>The system must have a Report Type [Original, Amendment) indicator.</div></span></li><li><span style=""box-sizing:border-box;""><div>The system must be able to capture the Reporting Year, Election Year, and the Report Date.</div></span></li><li><span style=""box-sizing:border-box;""><div><span>The system must provide the ability for the Period for which you are Reporting to be selected [Primary Election, General Election, Special Election, Primary Run-Off Election, General Run-Off Election, Special Run-Off Election, Special Primary Run-Off Election].</span></div></span></li></ul></div></span></div><br></div>"
"8916","Requirement","GA-RQ-2.14","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Two-Business Day Report (TBD)</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">2.14. The system must provide the ability to capture and update the following information for Candidates to file the Two-Business Day Report.<br></span></div><br></div>"
"8917","Requirement","GA-RQ-2.13.10","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><span>2.13.10. Addendum Statement Section<br></span><div><ul><li>The system must have the ability to capture an explanation of any additional information needed to complete an accurate filing of this report.</li><li>The system must have the ability to capture the following attestation: “I hereby swear or affirm that I have examined this report, and say that information in this report is complete, true, and correct.”</li><li>The system must have the ability to submit reports electronically.</li><li>The system must have the ability to email the report to the Filer.</li><li><span>The system must have the ability to Send Confirmation and View Report.</span></li></ul></div></div>"
"8918","Requirement","GA-RQ-2.13.9","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span>2.13.9. Summary of Indebtedness Section<br></span><div><ul><li><span style=""box-sizing:border-box;""><div>The system must have the ability to auto-populate the Outstanding indebtedness at the beginning of this period with the total amount of indebtedness from the prior report.</div></span></li><li><span style=""box-sizing:border-box;""><span>The system must have the ability to capture the following information for Indebtedness: Outstanding indebtedness at the beginning of this period, Loans received this period, Deferred payments of expenses this period, Payments made on loans this period, Credits received on loans/deferred expenses this period, Payments this period on previously deferred expenses, Total indebtedness at the close of this reporting period.</span></span></li></ul></div></span></div><br></div>"
"8919","Requirement","GA-RQ-2.13.8","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.8. Report Summary Section – Investments<br></span><div><ul><li>&nbsp;The system must auto-populate the Total value of investments held at the beginning of this reporting period.</li><li>The system must calculate and display the Total value of investments held at the close of this reporting period.</li><li><span>&nbsp;The system must calculate and display the Net Balance On-Hand.</span></li></ul></div></div>"
"8920","Requirement","GA-RQ-2.13.7","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.7. Report Summary Section – Expenditures Made<br></span><div><ul><li>&nbsp;The system must have the ability to capture Total expenditures made and reported prior to this reporting period.</li><li>&nbsp;The system must have the ability to search for and import the following previous Expenditure’s information: First Name (Individual), Last Name (Individual), Expenditure’s Name (Committee/Corporation/PAC/Other Entity), Address, City, State, Zip, Occupation (Individual), Employer (Individual)</li><li>&nbsp;The system must have the ability to calculate the total amount of all itemized expenditures made in this reporting period, which are listed in the &quot;Itemized Expenditures&quot; section.</li><li>&nbsp;The system must have the ability to capture Total amount of all separate expenditures of less than $100.00 that were made in this reporting period and not listed in the &quot;Itemized Expenditures&quot; section.</li><li>&nbsp;The system must calculate and display Total expenditures reported this period.</li><li><span>The system must calculate and display Total expenditures to date. Total to be carried forward to the next report of this Election Cycle.</span></li></ul></div></div>"
"8921","Requirement","GA-RQ-2.13.5","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.5. Investment Section<br></span><div><ul><li>The system must have the ability to capture the following information for Investments: Investment Name, Account Number, Institution Name / Person Name, Address, City, State, Zip, Value at Beginning of Period, Value at End of Period, Interest Paid Out, Cash Dividends</li><li><span>The system must have the ability to capture the following information for Transactions in the Reporting Period: Transaction date, Value of Investment Purchased, Value of Investment Sold, Profit from Sale, Loss from Sale, Person(s) Involved in Transaction</span></li></ul></div></div>"
"8922","Requirement","GA-RQ-2.13.4","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.4. Expenditures Made More than $100.00<br></span><div><ul><li>The system must have the ability to capture the following information for Expenditures Made of More than $100.00: Expenditure Type [Expenditure, Loan Repayment, Investment, Refund, Reimbursement, Credit card, 3rd Party, Deferred Payment, Payment on Deferred Expense, In-Kind], Type of Recipient [Committee/Corporation/PAC/Other Entity, Individual]</li><li>The system must have the ability to search for and import the following previous Expenditure’s information: First Name (Individual), Last Name (Individual), Committee’s Name (Committee/Corporation/PAC/Other Entity), Address, City, State, Zip, Occupation (Individual), Employer (Individual)</li><li><span>The system must have the ability to dynamically capture Expenditure’s information based on Expenditure Type and Type of Recipient on the table in Appendix A.</span></li></ul></div></div>"
"8923","Requirement","GA-RQ-2.13.3","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.3. Itemized Loans Section<br></span><div><ul><li>The system must have the ability to capture the following information for the Itemized Loans Section: Type of Lender [Individual, Company], demographic information [Name, Address, City, State, Zip], Date Received, Election Type, Election Year, Loan Amount.</li><li><span>The system must have the ability to capture the following information for Person(s) Responsible for Loan Repayment: Name, Mailing Address, City, State, Zip, Occupation, Place of Employment.</span></li></ul></div></div><div><br></div>"
"8924","Requirement","GA-RQ-2.13.2","New","<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span>2.13.2. Itemized Contributions<br></span><div><ul><li><span style=""box-sizing:border-box;""><div>The system must have the ability to capture the following information for Candidate Contributions for Contributions Received of More than $100.00: Contribution Type [Monetary, In-Kind, Common Source, Credit Received on Loan, Credit Received on Deferred Expense], Type of Contributor [Individual, Corporation/PAC/Other Entity, Common Source], demographic information [Name, Address, City, State, Zip] Date Received, Amount of the contributions.</div></span></li><li><span style=""box-sizing:border-box;""><div>The system must have the ability to search for and import the following previous Contributor’s demographic information: First Name (Individual), Last Name (Individual), Committee’s Name (Committee/Corporation/PAC/Other Entity), Address, City, State, Zip, Occupation (Individual), Employer (Individual)</div></span></li><li><span style=""box-sizing:border-box;""><div>The system must have the ability to dynamically capture Contribution information based on Contribution Type and Contributor Type on the table in Appendix A.</div></span></li><li><span style=""box-sizing:border-box;""><span>The system must have an indicator if the Contributor is associated with a regulated entity (any person who may be employed by a regulated entity, including a person in whose name a license or lease is held, or who is an officer of a regulated entity)</span></span></li></ul></div></span></div><div style=""box-sizing:border-box;""><ul><li><span style=""box-sizing:border-box;""><span>The Election Type that the contribution supports. Election Types include Primary, General, Special, Special Primary, Run-Off Primary, Run-Off General, Run-Off Special, Run-Off Special Primary.</span></span></li></ul><div>GAP Session 3 Notes:</div><div>Common Source will not be a contribution type but handled through Linking of Contributors</div><div>Credit Received on Loan is Loan Forgiveness (Forgiveness will be renamed.)</div><div>Credit Received on Deferred Expense may be going away - Commission is researching it.</div><div>Type of Contributor = Corporation is removed. Common Source is removed.</div></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span><br></span></span></div><br>"
"8925","Requirement","GA-RQ-2.13.1","New","<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Candidate and Campaign Reporting</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span><span style=""box-sizing:border-box;"">State and Local Level Filing Requirements</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Campaign Contribution Disclosure Report (CCDR)</span></div><br></div><div><span>2.13.1. A cover page containing the:<br></span><div><ul><li>Report Type [Original Report, Amended Report] is determined by the system based on selection to create or amend a report</li><li>Report Date (defaulted to system date)</li><li>Election Year [drop down selection of valid years]</li><li>An indicator if the there is a campaign committee (one or more persons) to make campaign transactions, keep the financial records of the campaign, or file reports (currently, the system defaults the indicator to yes).</li><li>An indicator if the committee is registered with the State Ethics Commission (currently, the system defaults the indicator to yes).</li><li><span>The period being reported – the system must display the correct election dates for selection based on the type of Election being reported [Non- Election Year, Election Year, Run-Offs, Special Elections, Supplemental Reporting].</span></li></ul></div></div>"
